Division,Product Name,Total_Sales,Total_Units,Total_Gross_Profit,Total_Cost,Order_Count,Gross Margin %,Profit per Unit,Revenue Contribution %,Profit Contribution %,Margin Volatility (across regions),Quadrant,Rank_by_Profit,Rank_by_Margin,Cost as % of Sales,Cost Structure Flag,Recommended Action
Chocolate,Wonka Bar - Fudge Mallows,24890.4,6914,16593.6,8296.8,1818,66.66666666666666,2.4,17.555200131355083,17.75802951110198,8.204640795236539e-15,High-Profit / High-Margin,5,5,33.33333333333333,Healthy cost structure,No action needed
Chocolate,Wonka Bar - Milk Chocolate,26867.75,8267,17443.37,9424.38,2137,64.92307692307692,2.11,18.949825166699423,18.66743077048205,1.4210854715202004e-14,High-Profit / High-Margin,3,7,35.07692307692307,Healthy cost structure,No action needed
Chocolate,Wonka Bar - Nutty Crunch Surprise,23574.95,6755,16819.95,6755.0,1810,71.34670487106017,2.49,16.627413192905273,18.000263262659082,8.204640795236539e-15,High-Profit / High-Margin,4,3,28.653295128939828,Healthy cost structure,No action needed
Chocolate,Wonka Bar - Triple Dazzle Caramel,28485.0,7596,18610.2,9874.8,2015,65.33333333333333,2.45,20.09047165741207,19.91614121152192,1.1603114287023092e-14,High-Profit / High-Margin,2,6,34.666666666666664,Healthy cost structure,No action needed
Chocolate,Wonka Bar -Scrumdiddlyumptious,27874.8,7743,19357.5,8517.3,2064,69.44444444444444,2.5,19.66009757261822,20.715881801487114,8.204640795236539e-15,High-Profit / High-Margin,1,4,30.555555555555554,Healthy cost structure,No action needed
Other,Kazookles,1205.75,371,92.75,1113.0,96,7.6923076923076925,0.25,0.8504155239924384,0.0992585838609288,0.0,High-Sales / Low-Margin (Margin Risk),9,15,92.3076923076923,"Cost-heavy, margin-poor -- flag for cost renegotiation",Cost renegotiation
Other,Lickable Wallpaper,7860.0,393,3930.0,3930.0,94,50.0,10.0,5.543658319370156,4.205781504835044,0.0,High-Sales / Low-Margin (Margin Risk),6,11,50.0,"Cost-heavy, margin-poor -- flag for cost renegotiation",Cost renegotiation
Other,Wonka Gum,597.5,478,310.7,286.8,120,52.0,0.65,0.4214167742778203,0.3325028787664753,0.0,High-Sales / Low-Margin (Margin Risk),7,10,48.00000000000001,"Cost-heavy, margin-poor -- flag for cost renegotiation",Cost renegotiation
Sugar,Everlasting Gobstopper,130.0,13,104.0,26.0,3,80.0,8.0,0.0916890052822035,0.1112980347335482,0.0,Low-Sales / High-Margin (Niche),8,1,20.0,Healthy cost structure,No action needed
Sugar,Fizzy Lifting Drinks,78.75,21,47.25,31.5,6,60.0,2.25,0.0555423781997964,0.0505656936650014,0.0,Low-Sales / Low-Profit,11,9,40.0,"Cost-heavy, margin-poor -- flag for cost renegotiation",Cost renegotiation
Sugar,Fun Dip,12.0,8,4.8,7.2,3,40.0,0.6,0.008463600487588,0.0051368323723176,0.0,Low-Sales / Low-Profit,15,14,60.0,"Cost-heavy, margin-poor -- flag for cost renegotiation",Cost renegotiation
Sugar,Hair Toffee,76.5,17,59.5,17.0,4,77.77777777777779,3.5,0.0539554531083736,0.0636753179485203,0.0,Low-Sales / High-Margin (Niche),10,2,22.22222222222222,Healthy cost structure,No action needed
Sugar,Laffy Taffy,53.73,27,33.480000000000004,20.25,10,62.31155778894474,1.2400000000000002,0.0378957711831753,0.0358294057969153,0.0,Low-Sales / High-Margin (Niche),12,8,37.68844221105528,High cost but margin holding -- monitor,Monitor
Sugar,Nerds,15.0,10,7.0,8.0,4,46.66666666666666,0.7,0.010579500609485,0.0074912138762965,0.0,Low-Sales / Low-Profit,14,12,53.333333333333336,"Cost-heavy, margin-poor -- flag for cost renegotiation",Cost renegotiation
Sugar,SweeTARTS,61.5,41,28.7,32.8,10,46.66666666666666,0.7,0.0433759524988886,0.0307139768928157,5.024295867788081e-15,Low-Sales / Low-Profit,13,12,53.333333333333336,"Cost-heavy, margin-poor -- flag for cost renegotiation",Cost renegotiation
