Product Name,Division,Total_Gross_Profit,Cumulative Profit %,Product Rank %
Wonka Bar -Scrumdiddlyumptious,Chocolate,19357.5,20.715881801487114,6.666666666666667
Wonka Bar - Triple Dazzle Caramel,Chocolate,18610.2,40.632023013009025,13.333333333333334
Wonka Bar - Milk Chocolate,Chocolate,17443.37,59.299453783491074,20.0
Wonka Bar - Nutty Crunch Surprise,Chocolate,16819.95,77.29971704615015,26.666666666666668
Wonka Bar - Fudge Mallows,Chocolate,16593.6,95.05774655725214,33.33333333333333
Lickable Wallpaper,Other,3930.0,99.26352806208719,40.0
Wonka Gum,Other,310.7,99.59603094085367,46.666666666666664
Everlasting Gobstopper,Sugar,104.0,99.7073289755872,53.333333333333336
Kazookles,Other,92.75,99.80658755944813,60.0
Hair Toffee,Sugar,59.5,99.87026287739666,66.66666666666666
Fizzy Lifting Drinks,Sugar,47.25,99.92082857106166,73.33333333333333
Laffy Taffy,Sugar,33.480000000000004,99.95665797685857,80.0
SweeTARTS,Sugar,28.7,99.98737195375138,86.66666666666667
Nerds,Sugar,7.0,99.99486316762768,93.33333333333333
Fun Dip,Sugar,4.8,100.0,100.0
