Division,Product Name,Total_Sales,Total_Units,Total_Gross_Profit,Total_Cost,Order_Count,Gross Margin %,Profit per Unit,Revenue Contribution %,Profit Contribution %,Margin Volatility
Chocolate,Wonka Bar -Scrumdiddlyumptious,27874.8,7743,19357.5,8517.3,2064,69.44444444444444,2.5,19.66009757261822,20.715881801487114,1.539707281170767e-14
Chocolate,Wonka Bar - Triple Dazzle Caramel,28485.0,7596,18610.2,9874.8,2015,65.33333333333333,2.45,20.09047165741207,19.916141211521918,1.481584022095282e-14
Chocolate,Wonka Bar - Milk Chocolate,26867.75,8267,17443.37,9424.38,2137,64.92307692307692,2.11,18.949825166699426,18.66743077048205,1.1087159600798116e-14
Chocolate,Wonka Bar - Nutty Crunch Surprise,23574.95,6755,16819.95,6755.0,1810,71.34670487106017,2.49,16.627413192905273,18.000263262659082,1.0683854321145422e-14
Chocolate,Wonka Bar - Fudge Mallows,24890.4,6914,16593.6,8296.8,1818,66.66666666666666,2.4,17.555200131355083,17.75802951110198,1.6498221437520958e-14
Other,Lickable Wallpaper,7860.0,393,3930.0,3930.0,94,50.0,10.0,5.543658319370156,4.205781504835044,0.0
Other,Wonka Gum,597.5,478,310.7,286.8,120,52.0,0.65,0.4214167742778203,0.33250287876647533,3.312922587782601e-15
Sugar,Everlasting Gobstopper,130.0,13,104.0,26.0,3,80.0,8.0,0.09168900528220358,0.11129803473354824,0.0
Other,Kazookles,1205.75,371,92.75,1113.0,96,7.6923076923076925,0.25,0.8504155239924384,0.09925858386092884,0.0
Sugar,Hair Toffee,76.5,17,59.5,17.0,4,77.77777777777779,3.5,0.05395545310837365,0.06367531794852038,0.0
Sugar,Fizzy Lifting Drinks,78.75,21,47.25,31.5,6,60.0,2.25,0.05554237819979641,0.050565693665001486,0.0
Sugar,Laffy Taffy,53.73,27,33.480000000000004,20.25,10,62.31155778894474,1.2400000000000002,0.03789577118317537,0.03582940579691534,0.0
Sugar,SweeTARTS,61.5,41,28.7,32.8,10,46.666666666666664,0.7,0.04337595249888862,0.030713976892815714,0.0
Sugar,Nerds,15.0,10,7.0,8.0,4,46.666666666666664,0.7,0.010579500609485029,0.007491213876296516,0.0
Sugar,Fun Dip,12.0,8,4.8,7.2,3,40.0,0.6,0.008463600487588024,0.005136832372317611,0.0
